# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Mon Feb 17 16:42:31 UTC 2025
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0305 0.34439 7.00000 1.8655959368 2.5623526339    1.864  0.898  3.8449  4.142    0 2.525 2.383 2.555 2.086
0.0305 0.34439 7.00000 1.8731008768 2.5627252757    1.872  0.899  3.8448  4.143    0 2.523 2.381 2.554 2.084
0.0305 0.34439 7.00000 1.8736246824 2.5627511560    1.873  0.900  3.8449  4.142    0 2.521 2.379 2.551 2.083
0.0305 0.34439 7.00000 1.8985940218 2.5639658225    1.898  0.933  3.8496  4.133    0 2.437 2.296 2.460 2.011
0.0305 0.34439 7.00000 1.9235634804 2.5651443008    1.923  0.967  3.8562  4.132    0 2.352 2.214 2.368 1.946
0.0305 0.34439 7.00000 1.9485074282 2.5662869610    1.948  1.003  3.8620  4.124    0 2.262 2.127 2.270 1.873
0.0305 0.34439 7.00000 1.9983949661 2.5684741630    1.999  1.072  3.8762  4.124    0 2.091 1.964 2.085 1.746
0.0305 0.34439 7.00000 2.0199155807 2.5693794142    2.020  1.102  3.8830  4.126    0 2.016 1.894 2.005 1.694
0.0305 0.34439 7.00000 2.0482826233 2.5705392985    2.048  1.142  3.8934  4.134    0 1.916 1.804 1.899 1.631
0.0305 0.34439 7.00000 2.0981702805 2.5724919057    2.097  1.238  3.9218  4.161    0 1.675 1.605 1.659 1.504
0.0305 0.34439 7.00000 2.1103110313 2.5729510619    2.109  1.260  3.9280  4.166    0 1.620 1.563 1.610 1.477
0.0305 0.34439 7.00000 2.1268165112 2.5735656309    2.126  1.266  3.9324  4.182    0 1.606 1.559 1.600 1.482
0.0305 0.34439 7.00000 2.1354479790 2.5738826699    2.134  1.275  3.9344  4.181    0 1.581 1.539 1.577 1.466
0.0305 0.34439 7.00000 2.1408662796 2.5740801861    2.139  1.297  3.9397  4.182    0 1.528 1.499 1.532 1.438
0.0305 0.34439 7.00000 2.1448264122 2.5742238212    2.143  1.317  3.9457  4.186    0 1.476 1.464 1.490 1.415
0.0305 0.34439 7.00000 2.1480579376 2.5743405783    2.147  1.331  3.9504  4.192    0 1.443 1.445 1.467 1.404
0.0305 0.34439 7.00000 2.1492495537 2.5743835303    2.148  1.333  3.9511  4.194    0 1.438 1.442 1.464 1.403
0.0305 0.34439 7.00000 2.1979458332 2.5760930826    2.197  1.364  3.9688  4.243    0 1.359 1.426 1.433 1.415
0.0305 0.34439 7.00000 2.1980247498 2.5760957825    2.197  1.364  3.9688  4.243    0 1.359 1.426 1.433 1.415
0.0305 0.34439 7.00000 2.2116289139 2.5765578926    2.210  1.368  3.9711  4.251    0 1.350 1.426 1.431 1.419
0.0305 0.34439 7.00000 2.2334151268 2.5772844647    2.232  1.377  3.9739  4.257    0 1.328 1.415 1.418 1.411
0.0305 0.34439 7.00000 2.2478332520 2.5777564142    2.246  1.381  3.9755  4.263    0 1.318 1.411 1.413 1.410
0.0305 0.34439 7.00000 2.2482810020 2.5777709590    2.247  1.381  3.9756  4.263    0 1.318 1.411 1.413 1.410
0.0305 0.34439 7.00000 2.2977209091 2.5793369644    2.296  1.400  3.9803  4.273    0 1.271 1.384 1.383 1.389
0.0305 0.34439 7.00000 2.3257000446 2.5801893522    2.324  1.418  3.9840  4.274    0 1.224 1.353 1.348 1.362
0.0305 0.34439 7.00000 2.3974962234 2.5822723281    2.396  1.472  3.9940  4.273    0 1.089 1.262 1.251 1.284
0.0305 0.34439 7.00000 2.5970468521 2.5873725523    2.597  1.613  4.0201  4.272    0 0.739 1.032 1.007 1.081
0.0305 0.34439 7.00000 2.7965972424 2.5916449786    2.797  1.737  4.0433  4.273    0 0.429 0.835 0.799 0.903
0.0305 0.34439 7.00000 2.9961481094 2.5952696655    2.996  1.856  4.0647  4.269    0 0.130 0.642 0.598 0.726
0.0305 0.34439 7.00000 3.1956987381 2.5983787768    3.195  1.968  4.0843  4.264    0 -0.149 0.463 0.413 0.560
0.0305 0.34439 7.00000 3.3952493668 2.6010713997    3.394  2.073  4.1027  4.258    1 -0.412 0.296 0.240 0.404
0.0305 0.34439 7.00000 3.5947995186 2.6034231664    3.592  2.169  4.1193  4.253    0 -0.654 0.145 0.082 0.262
0.0305 0.34439 7.00000 3.7943503857 2.6054927638    3.792  2.262  4.1352  4.248    1 -0.884 0.001 -0.066 0.128
0.0305 0.34439 7.00000 3.9939012527 2.6073263495    3.994  2.348  4.1498  4.242    1 -1.101 -0.134 -0.207 0.001
0.0305 0.34439 7.00000 4.1934518814 2.6089607113    4.191  2.431  4.1636  4.236    1 -1.307 -0.263 -0.340 -0.120
0.0305 0.34439 7.00000 4.3930025101 2.6104255060    4.390  2.509  4.1763  4.229    1 -1.502 -0.386 -0.467 -0.235
0.0305 0.34439 7.00000 4.5522494316 2.6114891126    4.549  2.569  4.1862  4.224    1 -1.652 -0.479 -0.562 -0.322
0.0305 0.34439 7.00000 4.5925526619 2.6117448818    4.590  2.584  4.1887  4.223    1 -1.689 -0.502 -0.586 -0.344
0.0305 0.34439 7.00000 4.7921037674 2.6129387024    4.790  2.655  4.2001  4.216    1 -1.866 -0.614 -0.702 -0.449
0.0305 0.34439 7.00000 4.7984828949 2.6129749865    4.796  2.657  4.2004  4.216    1 -1.872 -0.617 -0.705 -0.453
0.0305 0.34439 7.00000 4.9916543961 2.6140234216    4.990  2.723  4.2112  4.210    1 -2.037 -0.721 -0.812 -0.550
0.0305 0.34439 7.00000 5.0987744331 2.6145655963    5.098  2.759  4.2168  4.206    1 -2.127 -0.778 -0.870 -0.603
0.0305 0.34439 7.00000 5.1912045479 2.6150127978    5.191  2.789  4.2216  4.203    1 -2.202 -0.826 -0.920 -0.649
0.0305 0.34439 7.00000 5.3139390945 2.6155790579    5.314  2.828  4.2277  4.199    1 -2.299 -0.888 -0.984 -0.707
0.0305 0.34439 7.00000 5.3907556534 2.6159184182    5.391  2.852  4.2315  4.196    1 -2.359 -0.926 -1.023 -0.743
0.0305 0.34439 7.00000 5.5903058052 2.6167500868    5.591  2.912  4.2410  4.189    1 -2.511 -1.022 -1.122 -0.834
0.0305 0.34439 7.00000 5.7503871918 2.6173694965    5.751  2.959  4.2483  4.184    1 -2.627 -1.097 -1.199 -0.905
0.0305 0.34439 7.00000 5.7898569107 2.6175161778    5.790  2.970  4.2501  4.183    1 -2.656 -1.115 -1.218 -0.922
0.0305 0.34439 7.00000 5.9894065857 2.6182238559    5.990  3.027  4.2587  4.176    1 -2.796 -1.206 -1.311 -1.008
0.0305 0.34439 7.00000 6.1889572144 2.6188793138    6.189  3.081  4.2670  4.169    1 -2.932 -1.295 -1.402 -1.091
0.0305 0.34439 7.00000 6.3699159622 2.6194330538    6.368  3.129  4.2743  4.162    1 -3.052 -1.372 -1.482 -1.165
0.0305 0.34439 7.00000 6.3885087967 2.6194879083    6.387  3.134  4.2750  4.162    1 -3.064 -1.380 -1.490 -1.173
0.0305 0.34439 7.00000 6.5836749077 2.6200422754    6.576  3.182  4.2823  4.155    1 -3.185 -1.459 -1.570 -1.247
0.0305 0.34439 7.00000 6.6152167320 2.6201283455    6.607  3.190  4.2835  4.154    1 -3.204 -1.472 -1.584 -1.260
